Time, Server1 (%), Server2 (%), Server3 (%), Server4 (%), Server1_LB (MB/s), Server2_LB (MB/s), Server3_LB (MB/s), Server4_LB (MB/s), PCIeChannel1 (MB/s), PCIeChannel2 (MB/s), PCIeChannel3 (MB/s), PCIeChannel4 (MB/s), JBOD1 rate (MB/s),  JBOD2 rate (MB/s), SSD rate (MB/s), JBOD1 (MB), JBOD2 (MB), SSD (MB), Cache (MB)
7.8, 0.07, 0.07, 0.07, 0.07, 0.314392, 0.314392, 4.341554, 3.871085, 0.314392, 0.314392, 6.211562, 0.314392, 1.589005, 1.591711, 0.000000, 325.44, 331.65, 335.42, 1.28
7.9, 0.07, 0.07, 0.07, 0.07, 0.314392, 0.314392, 1.353567, 0.314392, 1.201609, 0.314392, 4.611011, 0.314392, 1.591711, 1.591711, 0.000000, 329.92, 335.23, 338.62, 3.78
8.0, 0.07, 0.07, 0.07, 0.07, 0.314392, 0.309849, 0.330137, 2.719537, 0.314392, 0.314392, 0.449575, 1.839556, 1.591711, 1.591711, 0.000000, 334.27, 339.26, 343.68, 1.66
8.1, 0.07, 0.07, 0.07, 0.07, 0.314392, 0.314392, 1.105917, 0.314392, 0.314392, 3.071542, 1.220076, 0.314392, 1.534027, 1.591711, 0.000000, 339.07, 343.81, 347.52, 2.56
8.2, 0.08, 0.07, 0.07, 0.07, 0.314392, 0.314392, 6.383008, 4.184237, 3.145480, 1.899948, 1.237853, 0.314392, 1.115255, 0.509237, 0.000000, 342.98, 348.10, 352.06, 4.10
8.3, 0.08, 0.08, 0.07, 0.07, 4.360139, 0.314392, 1.007175, 0.314392, 0.314392, 0.314392, 5.268528, 0.314392, 1.591711, 1.295804, 0.000000, 347.65, 352.45, 355.01, 4.03
8.4, 0.08, 0.08, 0.08, 0.07, 4.114254, 0.314392, 0.955854, 0.314392, 0.314392, 0.314392, 4.306622, 0.314392, 1.255863, 1.591711, 0.000000, 352.64, 357.63, 359.74, 3.71
8.5, 0.08, 0.08, 0.08, 0.08, 0.314392, 0.314392, 13.581340, 0.314392, 0.314392, 1.812518, 10.068760, 0.310738, 1.495284, 0.509237, 0.000000, 357.57, 361.86, 363.26, 4.54
8.6, 0.08, 0.08, 0.08, 0.08, 3.547536, 0.314392, 12.135423, 3.518400, 0.314392, 0.313639, 14.194695, 0.314392, 0.509237, 0.556528, 0.000000, 361.79, 367.10, 367.17, 3.46
8.7, 0.08, 0.08, 0.08, 0.08, 0.314392, 1.565467, 10.150465, 0.314392, 0.314392, 0.314392, 15.052730, 0.314392, 1.591711, 1.588426, 0.000000, 366.14, 371.33, 371.71, 4.16
