Time, Server1 (%), Server2 (%), Server3 (%), Server4 (%), Server1_LB (MB/s), Server2_LB (MB/s), Server3_LB (MB/s), Server4_LB (MB/s), PCIeChannel1 (MB/s), PCIeChannel2 (MB/s), PCIeChannel3 (MB/s), PCIeChannel4 (MB/s), JBOD1 rate (MB/s),  JBOD2 rate (MB/s), SSD rate (MB/s), JBOD1 (MB), JBOD2 (MB), SSD (MB), Cache (MB)
9.6, 0.05, 0.05, 0.07, 0.05, 0.069278, 0.069278, 0.165202, 0.069278, 0.069278, 0.069278, 0.611707, 0.065355, 0.311554, 0.324742, 0.001082, 1972.29, 1971.20, 1971.14, 4.10
9.7, 0.05, 0.05, 0.07, 0.05, 0.069278, 0.068082, 1.129849, 0.166701, 0.066627, 0.069278, 0.223822, 0.069278, 0.323119, 0.324742, 0.001082, 1995.52, 1991.94, 1990.34, 2.94
9.8, 0.05, 0.05, 0.07, 0.05, 0.069278, 0.069278, 1.217861, 0.069278, 0.410029, 0.069278, 1.864107, 0.069278, 0.216495, 0.176215, 0.001082, 2015.87, 2013.38, 2011.46, 3.78
9.9, 0.05, 0.05, 0.06, 0.05, 0.069278, 0.065903, 0.770745, 0.065601, 0.069278, 0.069278, 1.125846, 0.069278, 0.324742, 0.324742, 0.001082, 2037.76, 2033.34, 2033.15, 3.90
10.0, 0.05, 0.05, 0.07, 0.05, 0.069278, 0.069278, 0.165202, 0.069278, 0.069278, 0.069278, 0.165202, 0.281945, 0.270619, 0.216495, 0.001082, 2060.93, 2053.31, 2055.23, 3.58
10.1, 0.05, 0.05, 0.07, 0.05, 0.069278, 0.159348, 0.448979, 0.069278, 0.186706, 0.136377, 0.170531, 0.250551, 0.311894, 0.216495, 0.001082, 2081.15, 2074.62, 2076.42, 3.97
10.2, 0.05, 0.05, 0.07, 0.05, 0.067076, 0.069278, 1.607534, 0.069278, 0.069278, 0.069278, 1.287814, 0.122317, 0.108247, 0.108247, 0.001082, 2101.95, 2095.87, 2097.41, 4.29
10.3, 0.05, 0.05, 0.07, 0.05, 0.169592, 0.069278, 0.168247, 0.069278, 0.069278, 0.238915, 2.070819, 0.069278, 0.108247, 0.108247, 0.001082, 2124.29, 2116.99, 2118.66, 3.58
10.4, 0.05, 0.05, 0.07, 0.05, 0.069278, 0.065117, 0.212784, 0.069278, 0.069278, 0.069278, 0.617712, 0.069278, 0.324742, 0.280754, 0.001082, 2143.49, 2137.98, 2138.24, 4.74
10.5, 0.05, 0.05, 0.07, 0.05, 0.285649, 0.069278, 0.556933, 0.069278, 0.069278, 0.069278, 1.443140, 0.147896, 0.324742, 0.113519, 0.001082, 2164.99, 2159.94, 2159.74, 3.65
