Time, Server1 (%), Server2 (%), Server3 (%), Server4 (%), Server1_LB (MB/s), Server2_LB (MB/s), Server3_LB (MB/s), Server4_LB (MB/s), PCIeChannel1 (MB/s), PCIeChannel2 (MB/s), PCIeChannel3 (MB/s), PCIeChannel4 (MB/s), JBOD1 rate (MB/s),  JBOD2 rate (MB/s), SSD rate (MB/s), JBOD1 (MB), JBOD2 (MB), SSD (MB), Cache (MB)
7.5, 0.04, 0.05, 0.05, 0.00, 0.037278, 0.037278, 0.107828, 0.037278, 0.486154, 0.037278, 1.458492, 0.037278, 0.182330, 0.076247, 0.000000, 1366.72, 1369.60, 1364.86, 2.11
7.6, 0.04, 0.05, 0.05, 0.00, 0.037278, 0.037278, 1.842277, 0.037278, 0.037278, 0.037278, 0.730450, 0.037278, 0.292742, 0.221494, 0.000000, 1385.92, 1385.60, 1384.77, 2.43
7.7, 0.05, 0.05, 0.05, 0.00, 0.037278, 0.037278, 0.793450, 0.037278, 0.037278, 0.037278, 0.509793, 0.035508, 0.292742, 0.276770, 0.000000, 1404.48, 1402.82, 1404.74, 2.82
7.8, 0.05, 0.05, 0.05, 0.00, 0.037278, 0.556615, 0.037278, 0.037278, 0.037278, 0.034676, 0.162845, 0.037278, 0.184495, 0.145693, 0.000000, 1424.26, 1420.29, 1424.06, 2.88
7.9, 0.05, 0.05, 0.06, 0.00, 0.037278, 0.037278, 0.167175, 0.037278, 0.037278, 0.037278, 0.386413, 0.037278, 0.184495, 0.155984, 0.000000, 1441.66, 1439.62, 1442.75, 2.37
8.0, 0.05, 0.05, 0.06, 0.00, 0.037278, 0.037278, 1.434018, 0.037278, 0.178762, 0.037278, 1.012988, 0.037278, 0.229612, 0.292742, 0.000000, 1460.86, 1457.15, 1461.70, 3.97
8.1, 0.05, 0.06, 0.06, 0.00, 0.037278, 0.037278, 1.779782, 0.037278, 0.037278, 0.037278, 1.004932, 0.037278, 0.292742, 0.292742, 0.000000, 1479.55, 1476.03, 1480.38, 2.82
8.2, 0.05, 0.05, 0.06, 0.00, 0.037278, 0.037278, 1.530550, 0.037278, 0.037278, 0.037278, 0.398453, 0.033717, 0.076247, 0.076247, 0.000000, 1496.58, 1494.98, 1500.03, 2.37
8.3, 0.05, 0.05, 0.06, 0.00, 0.037278, 0.037278, 1.614432, 0.037278, 0.037278, 0.037278, 0.428319, 0.037278, 0.292742, 0.292742, 0.000000, 1513.98, 1513.09, 1518.85, 3.07
8.4, 0.05, 0.05, 0.06, 0.00, 0.037240, 0.332794, 0.091162, 0.037278, 0.323465, 0.037278, 1.899427, 0.037278, 0.292742, 0.270998, 0.000000, 1533.06, 1530.82, 1538.05, 2.56
8.5, 0.05, 0.05, 0.07, 0.00, 0.065019, 0.037278, 0.036757, 0.033287, 0.037278, 0.035185, 0.808836, 0.037278, 0.104143, 0.076247, 0.000000, 1550.78, 1548.35, 1557.06, 2.43
8.6, 0.05, 0.05, 0.07, 0.00, 0.037278, 0.037278, 0.290302, 0.037278, 0.037278, 0.037278, 0.139780, 0.037278, 0.292742, 0.224966, 0.000000, 1570.56, 1567.17, 1576.13, 2.56
8.7, 0.05, 0.05, 0.07, 0.00, 0.037278, 0.037278, 1.648585, 0.037278, 0.037278, 0.037278, 0.146665, 0.037278, 0.292742, 0.292742, 0.000000, 1590.08, 1582.78, 1595.90, 2.05
8.8, 0.05, 0.05, 0.07, 0.00, 0.365915, 0.037278, 1.593812, 0.037278, 0.564985, 0.037278, 0.091972, 0.037278, 0.076247, 0.076247, 0.000000, 1609.15, 1602.37, 1612.10, 3.46
8.9, 0.05, 0.05, 0.07, 0.00, 0.037278, 0.037278, 2.387704, 0.037278, 0.539821, 0.037278, 1.535483, 0.037278, 0.292742, 0.292742, 0.000000, 1626.94, 1620.16, 1629.76, 3.07
9.0, 0.05, 0.05, 0.07, 0.00, 0.037278, 0.037278, 0.091972, 0.037278, 0.150948, 0.037278, 1.154065, 0.037278, 0.291119, 0.238619, 0.000000, 1644.22, 1639.36, 1650.24, 1.79
9.1, 0.05, 0.05, 0.07, 0.00, 0.085721, 0.037278, 2.283125, 0.037278, 0.033071, 0.037278, 1.345923, 0.037278, 0.076247, 0.076247, 0.000000, 1662.66, 1657.15, 1667.71, 3.65
9.2, 0.05, 0.05, 0.07, 0.00, 0.037278, 0.037278, 0.092701, 0.037278, 0.037278, 0.035697, 0.616279, 0.037278, 0.292742, 0.279500, 0.000000, 1682.75, 1675.01, 1686.21, 4.74
9.3, 0.05, 0.06, 0.07, 0.00, 0.407819, 0.037278, 2.070440, 0.037278, 0.037278, 0.037278, 1.624468, 0.034457, 0.076247, 0.076247, 0.000000, 1700.22, 1693.76, 1705.15, 4.35
9.4, 0.05, 0.06, 0.07, 0.00, 0.037278, 0.037278, 0.096165, 0.037278, 0.037278, 0.037278, 0.148124, 0.037278, 0.292742, 0.217379, 0.000000, 1719.30, 1711.30, 1723.33, 4.16
9.5, 0.06, 0.06, 0.07, 0.00, 0.037278, 0.037278, 1.715014, 0.037278, 0.037278, 0.037278, 1.425179, 0.033088, 0.281625, 0.173378, 0.000000, 1738.94, 1727.62, 1741.38, 4.93
9.6, 0.05, 0.06, 0.07, 0.00, 0.037278, 0.037278, 0.690629, 0.037278, 0.037278, 0.037278, 0.090062, 0.037278, 0.292742, 0.292742, 0.000000, 1757.38, 1746.75, 1759.87, 2.94
